symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2020-12-11 00:00:00+00:00,122.41,122.76,120.55,122.43,86939786,119.2878316728,119.6289046332,117.4752725117,119.3073215562,86939786,0.0,1.0
AAPL,2020-12-14 00:00:00+00:00,121.78,123.35,121.54,122.6,79075988,118.673900344,120.2038561951,118.4400217426,119.4729855656,79075988,0.0,1.0
AAPL,2020-12-15 00:00:00+00:00,127.88,127.9,124.13,124.34,157572262,124.6183147971,124.6378046806,120.9639616497,121.168605426,157572262,0.0,1.0
AAPL,2020-12-16 00:00:00+00:00,127.81,128.37,126.56,127.41,98208591,124.550100205,125.0958169417,123.3319824892,124.160302536,98208591,0.0,1.0
AAPL,2020-12-17 00:00:00+00:00,128.7,129.58,128.045,128.9,94359811,125.4174000187,126.2749548906,124.7791063356,125.6122988532,94359811,0.0,1.0
AAPL,2020-12-18 00:00:00+00:00,126.655,129.1,126.12,128.96,192541496,123.4245594356,125.8071976877,122.9032050533,125.6707685036,192541496,0.0,1.0
AAPL,2020-12-21 00:00:00+00:00,128.23,128.31,123.449,125.02,121251553,124.9593877575,125.0373472914,120.3003311182,121.8312614634,121251553,0.0,1.0
AAPL,2020-12-22 00:00:00+00:00,131.88,134.405,129.65,131.61,169351825,128.5162914877,130.9768892736,126.3431694827,128.2531780611,169351825,0.0,1.0
AAPL,2020-12-23 00:00:00+00:00,130.96,132.43,130.78,132.16,88223692,127.6197568489,129.0522632826,127.4443478978,128.789149856,88223692,0.0,1.0
AAPL,2020-12-24 00:00:00+00:00,131.97,133.46,131.1,131.32,54930064,128.6039959632,130.0559922805,127.756186033,127.970574751,54930064,0.0,1.0
AAPL,2020-12-28 00:00:00+00:00,136.69,137.34,133.51,133.99,123124632,133.2036084581,133.8370296703,130.1047169891,130.5724741919,123124632,0.0,1.0
AAPL,2020-12-29 00:00:00+00:00,134.87,138.789,134.3409,138.05,121047324,131.4300290639,135.2490717264,130.9144241971,134.5289205329,121047324,0.0,1.0
AAPL,2020-12-30 00:00:00+00:00,133.72,135.99,133.4,135.58,96452124,130.3093607653,132.5214625372,129.9975226301,132.1219199264,96452124,0.0,1.0
AAPL,2020-12-31 00:00:00+00:00,132.69,134.74,131.72,134.08,99116586,129.3056317675,131.3033448214,128.3603724201,130.6601786675,99116586,0.0,1.0
AAPL,2021-01-04 00:00:00+00:00,129.41,133.6116,126.76,133.52,143301887,126.1092908813,130.203725597,123.5268813238,130.1144619308,143301887,0.0,1.0
AAPL,2021-01-05 00:00:00+00:00,131.01,131.74,128.43,128.89,97664898,127.6684815575,128.3798623035,125.1542865921,125.6025539115,97664898,0.0,1.0
AAPL,2021-01-06 00:00:00+00:00,126.6,131.0499,126.382,127.72,155087970,123.3709622561,127.707363875,123.1585225265,124.4623957295,155087970,0.0,1.0
AAPL,2021-01-07 00:00:00+00:00,130.92,131.63,127.86,128.36,109578157,127.5807770819,128.2726679445,124.5988249137,125.086072,109578157,0.0,1.0
AAPL,2021-01-08 00:00:00+00:00,132.05,132.63,130.23,132.43,105158245,128.681955497,129.2471621172,126.9083761028,129.0522632826,105158245,0.0,1.0
AAPL,2021-01-11 00:00:00+00:00,128.98,130.17,128.5,129.19,100620880,125.690258387,126.8499064525,125.2225011842,125.8949021633,100620880,0.0,1.0
AAPL,2021-01-12 00:00:00+00:00,128.8,129.69,126.86,128.5,90440255,125.514849436,126.3821492496,123.624330741,125.2225011842,90440255,0.0,1.0
AAPL,2021-01-13 00:00:00+00:00,130.89,131.45,128.49,128.76,88636831,127.5515422568,128.0972589934,125.2127562424,125.475869669,88636831,0.0,1.0
AAPL,2021-01-14 00:00:00+00:00,128.91,131.0,128.76,130.8,90221755,125.6220437949,127.6587366158,125.475869669,127.4638377812,90221755,0.0,1.0
AAPL,2021-01-15 00:00:00+00:00,127.14,130.2242,127.0,128.78,111598531,123.8971891094,126.9027240366,123.7607599252,125.4953595525,111598531,0.0,1.0
